Age,Gender,Education,Skills,Experience_Years,Previous_Companies,Certifications,Job_Role_Applied,Job_Description,Fit_Score
26,F,B.Tech CS,"PyTorch, Machine Learning, SQL, Data Analysis",12,"TechSoft, WebWorks","Data Analysis, Machine Learning",Data Analyst,Manage projects using Agile and Project Management skills. Leadership required.,0.99
22,F,B.Tech Computer,"Deep Learning, SQL, PyTorch, Oracle Java Cert, Python",12,DataCorp,Agile,AI Engineer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
32,F,MBA,"Java, Agile, AWS Certified",9,"GlobalCorp, CodeFactory",,Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
30,F,B.Tech CS,"TensorFlow, Python, Deep Learning, PyTorch",12,"AI Labs, AI Solutions, FinTech Ltd","Deep Learning, Data Analysis",Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
39,M,M.Sc AI,"PyTorch, Leadership, SQL",7,"AI Labs, CodeFactory",Oracle Java Cert,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
31,F,B.Tech Computer,"Python, Machine Learning, Data Analysis",7,"AI Solutions, AI Labs, TechSoft","Agile, Deep Learning",Data Scientist,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
37,M,B.Tech CS,"Python, Data Analysis",15,"WebWorks, TechSoft, AI Labs",AWS Certified,Project Manager,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.99
40,M,B.Sc IT,"Machine Learning, NLP, SQL",13,WebWorks,,Data Scientist,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.99
23,F,B.Tech Computer,"Oracle Java Cert, Data Analysis, SQL, Java",2,"FinTech Ltd, GlobalCorp, DataCorp",,AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.83
36,F,B.Sc IT,"Python, Agile, TensorFlow, Java, PyTorch",2,"GlobalCorp, TechSoft",,AI Engineer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.84
26,F,B.Tech Computer,"Leadership, Machine Learning, Deep Learning, SQL",13,"GlobalCorp, FinTech Ltd",,Data Analyst,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
25,F,B.Tech CS,"Java, NLP",5,"AI Labs, FinTech Ltd","Deep Learning, Java",Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.93
29,F,B.Tech Computer,"Leadership, Project Management, Machine Learning, NLP",10,FinTech Ltd,Machine Learning,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
36,M,B.Tech CS,"TensorFlow, SQL, Leadership, AWS Certified, Machine Learning",9,"CodeFactory, DataCorp, TechSoft","SQL, Deep Learning",Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.99
24,M,B.Tech Computer,"Java, Deep Learning, Data Analysis",8,"AI Solutions, FinTech Ltd",,Project Manager,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.99
25,M,MBA,"NLP, Machine Learning, Project Management",5,"DataCorp, WebWorks, AI Labs","AWS Certified, SQL",Software Developer,Manage projects using Agile and Project Management skills. Leadership required.,0.98
22,M,B.Tech CS,"TensorFlow, Leadership, Oracle Java Cert, NLP, Deep Learning",10,DataCorp,"Data Analysis, SQL",AI Engineer,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
28,M,MBA,"SQL, NLP, Machine Learning, TensorFlow",1,"FinTech Ltd, AI Labs, AI Solutions",Python,Software Developer,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.76
23,F,B.Sc IT,"Data Analysis, AWS Certified, Project Management, SQL",1,"AI Labs, AI Solutions, WebWorks",Oracle Java Cert,Project Manager,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.8
40,M,B.Tech Computer,"Deep Learning, SQL, Data Analysis, NLP",4,"AI Labs, WebWorks, CodeFactory","Deep Learning, Project Management",Project Manager,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.99
45,M,MBA,"Agile, Project Management, Leadership, Budgeting",12,"RetailCo, BankCorp",PMP,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.12
42,F,B.Com,"Excel, Accounting, Tally, MS Office",8,"FinanceGroup, AuditFirm",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.15
50,M,B.A English,"Content Writing, SEO, Social Media",6,MediaHouse,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.1
48,F,MBA,"HR Management, Recruitment, Payroll",10,"HRCorp, StaffingSolutions",SHRM,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.18
44,M,B.Com,"Bookkeeping, GST Filing, Tally",5,LocalBusiness,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.13
46,F,MBA,"Sales Management, CRM, Negotiation, Cold Calling",11,"SalesCorp, RetailGroup",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.14
41,M,B.A,"Event Planning, Vendor Management, Logistics",7,"EventCo, HospitalityCo",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.16
49,F,B.Com,"Financial Modeling, Equity Research, DCF Valuation",14,"InvestBank, FundHouse",CFA Level 1,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.2
43,M,MBA,"Supply Chain, Procurement, Inventory Management",9,"LogisticsCo, ManufacturingInc",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.17
47,F,B.A,"Teaching, Curriculum Design, Classroom Management",8,"SchoolBoard, EdTech",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.22
40,M,B.Com,"Legal Research, Contract Drafting, Compliance",6,"LawFirm, CorporateLegal",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.25
52,F,MBA,"Brand Management, Campaign Planning, PR",13,"AdAgency, FMCG",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.32
29,M,B.Sc IT,"Python, SQL, Data Analysis",3,"DataCorp, TechSoft",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.5
31,F,B.Tech Computer,"Python, Excel, Statistics",4,GlobalCorp,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.45
27,M,B.Sc CS,"SQL, Basic Python, Tableau",2,WebWorks,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.48
34,F,B.Tech CS,"Data Analysis, R Programming",5,"FinTech Ltd, AI Labs",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.55
28,M,B.Sc IT,"Python, Pandas, NumPy, Statistics",2,TechSoft,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.52
32,F,B.Tech CS,"Python, SQL, Data Analysis, Excel",4,CodeFactory,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.58
30,M,MBA,"Python, Business Analytics, Tableau",4,FinTech Ltd,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.42
26,F,B.Sc IT,"SQL, Tableau, Excel, Data Visualization",2,RetailCo,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.47
35,M,B.Tech Computer,"Python, R, Statistics, Data Analysis",6,"GlobalCorp, DataCorp",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.6
33,F,B.Sc CS,"Python, Machine Learning Basics",4,"TechSoft, WebWorks",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.57
29,M,B.Tech CS,"SQL, Data Analysis, Python, ETL",3,AI Labs,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.62
36,F,B.Sc IT,"Python, Pandas, SQL",5,DataCorp,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.53
24,M,B.Sc CS,"Python, Excel, Statistics, SQL",1,TechSoft,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.44
31,F,B.Tech Computer,"Data Analysis, Python, Visualization",4,"GlobalCorp, FinTech Ltd",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.63
28,M,MBA,"Python, SQL, Reporting",3,RetailCo,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.48
34,F,B.Tech CS,"SQL, Python, Tableau, BI Tools",5,"CodeFactory, TechSoft",,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.65
27,M,B.Sc IT,"Python, Machine Learning Basics, SQL",2,WebWorks,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.5
30,F,B.Tech CS,"Data Analysis, Excel, Python, R",4,DataCorp,,AI Engineer,"Analyze large datasets and build AI solutions. Skills: Machine Learning, NLP, SQL.",0.56
38,M,M.Sc AI,"TensorFlow, PyTorch, Deep Learning, CUDA",9,"AI Labs, ResearchInst",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.2
45,F,B.Com,"Tally, GST, Bookkeeping, Audit",11,"AccountFirm, BankCorp",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.12
40,M,B.A,"Event Planning, Vendor Management, Logistics",7,EventCo,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.14
47,F,MBA,"Strategic Planning, Corporate Governance, Board Relations",15,"Conglomerate, HoldingCo",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.16
43,M,B.Pharm,"Drug Trials, Clinical Research, Lab Techniques",8,"PharmaCo, Hospital",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.18
50,F,MBA,"Marketing Strategy, Brand Management, PR",13,"AdAgency, FMCG",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.13
44,M,B.A,"Legal Research, Contract Drafting, Compliance",10,"LawFirm, CorporateLegal",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.15
41,F,MBA,"HR Management, Recruitment, Payroll, SHRM",9,"HRCorp, StaffingSolutions",SHRM,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.17
46,M,B.A English,"Content Writing, SEO, Copywriting",8,"MediaHouse, BlogAgency",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.22
48,F,MBA,"Supply Chain, Procurement, Inventory",12,"LogisticsCo, ManufacturingInc",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.25
42,M,B.A,"Teaching, Curriculum Design, Classroom Management",8,SchoolBoard,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.1
49,F,MBA,"Sales, CRM, Cold Calling, Negotiation",13,"SalesCorp, RetailGroup",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.32
26,F,B.Sc IT,"Excel, Basic Python, MS Office",2,RetailCo,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.52
30,M,MBA,"Business Analysis, Excel, Presentations",4,"ConsultFirm, BankCorp",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.58
28,F,B.Tech Computer,"Python, Java, SQL",3,TechSoft,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.47
33,M,B.Sc IT,"SQL, Excel, Reporting, MS Access",5,"GlobalCorp, FinTech Ltd",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.62
25,F,B.Sc CS,"Excel, PowerPoint, Word, Reporting",1,RetailCo,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.42
31,M,MBA,"Excel, Business Reporting, Dashboard",4,ConsultFirm,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.55
27,F,B.Tech CS,"SQL, Basic Excel, Database Queries",2,"WebWorks, TechSoft",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.48
34,M,B.Sc IT,"Excel, Tableau, Data Visualization",5,DataCorp,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.6
29,F,MBA,"Excel, Power BI, MS Office, Reporting",3,FinTech Ltd,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.53
32,M,B.Tech Computer,"SQL, Excel, Python Basics",4,"GlobalCorp, RetailCo",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.57
26,F,B.Sc CS,"Excel, MS Office, Basic Analytics",2,TechSoft,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.45
35,M,B.Tech CS,"SQL, Data Analysis, Excel, Pivot Tables",6,"DataCorp, CodeFactory",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.64
28,F,MBA,"Python Basics, Excel, Business Intelligence",3,ConsultFirm,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.5
30,M,B.Sc IT,"SQL, Excel, Reporting Tools",4,GlobalCorp,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.63
24,F,B.Sc CS,"Excel, Basic SQL, Word",1,RetailCo,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.44
33,M,B.Tech Computer,"Python, Excel, SQL, Tableau",5,"DataCorp, TechSoft",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.65
27,F,B.Sc IT,"SQL, Data Entry, Excel, Spreadsheets",2,WebWorks,,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.47
31,M,MBA,"Excel, Power BI, Analytics",4,"FinTech Ltd, ConsultFirm",,Data Analyst,"Perform data analysis and reporting. Skills: Data Analysis, Excel, Python.",0.58
46,M,MBA,"Sales Management, CRM, Cold Calling, Negotiation",12,"SalesCorp, RetailGroup",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.11
43,F,B.A,"Public Relations, Media Management, Press Releases",9,PRAgency,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.13
49,M,B.Com,"Financial Modeling, DCF Valuation, Equity Research",14,"InvestBank, FundHouse",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.16
44,F,MBA,"Supply Chain, Procurement, Inventory Management",10,"LogisticsCo, ManufacturingInc",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.14
41,M,B.A,"Teaching, Curriculum Design, Classroom Management",8,SchoolBoard,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.12
47,F,B.Com,"Bookkeeping, GST, Tally, Accounting",11,"AccountFirm, CA Firm",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.1
45,M,MBA,"HR Management, Talent Acquisition, Payroll",12,"HRCorp, StaffingSolutions",SHRM,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.17
42,F,B.A English,"Content Writing, SEO, Social Media, Blogging",9,"MediaHouse, BlogAgency",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.15
50,M,MBA,"Brand Management, Campaign Planning, Marketing Strategy",14,"AdAgency, FMCG",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.2
48,F,B.A,"Legal Research, Contract Drafting, Compliance",12,"LawFirm, CorporateLegal",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.22
40,M,MBA,"Event Planning, Vendor Management, Logistics",8,"EventCo, HospitalityCo",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.25
52,F,MBA,"Operations Management, Six Sigma, Lean, Process Improvement",15,"ManufacturingCo, OpsGroup",Six Sigma,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.32
28,M,B.Tech CS,"Python, Machine Learning Basics, Statistics",2,TechSoft,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.55
30,F,B.Sc IT,"Python, Scikit-learn, SQL",3,"DataCorp, AI Labs",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.5
26,M,B.Tech Computer,"Python, R Programming, Data Analysis",2,GlobalCorp,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.48
32,F,MBA,"Python, Business Analytics, Tableau",5,"FinTech Ltd, CodeFactory",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.43
29,M,B.Tech CS,"Python, Pandas, NumPy, Scikit-learn",3,"TechSoft, DataCorp",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.58
27,F,B.Sc CS,"Python, SQL, Machine Learning Basics",2,WebWorks,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.47
34,M,B.Tech CS,"Python, Data Analysis, Statistics, R",5,"GlobalCorp, AI Labs",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.62
31,F,B.Sc IT,"Python, Scikit-learn, Pandas",4,DataCorp,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.53
25,M,B.Tech Computer,"Python, SQL, Statistics",1,TechSoft,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.45
33,F,B.Tech CS,"Python, Machine Learning, Data Analysis",4,"CodeFactory, WebWorks",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.6
28,M,MBA,"Python, Tableau, Business Intelligence, Analytics",3,ConsultFirm,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.44
35,F,B.Tech CS,"Python, Scikit-learn, SQL, Statistics",6,"DataCorp, AI Labs",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.64
30,M,B.Sc IT,"Python, Machine Learning Basics, SQL",4,TechSoft,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.52
27,F,B.Tech Computer,"Python, R, Data Analysis, Visualization",2,GlobalCorp,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.48
32,M,B.Tech CS,"Python, Pandas, NumPy, Statistics",4,"CodeFactory, TechSoft",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.57
29,F,B.Sc CS,"Python, SQL, Machine Learning, Scikit-learn",3,DataCorp,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.65
26,M,B.Tech CS,"Python, Machine Learning Basics, Data Analysis",2,"TechSoft, WebWorks",,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.5
34,F,MBA,"Python, Analytics, Tableau, Statistics",5,FinTech Ltd,,Data Scientist,"Develop ML and DL models. Skills: Python, TensorFlow, PyTorch. Education: B.Tech CS, M.Sc AI.",0.55
35,M,M.Sc AI,"TensorFlow, Keras, CUDA, GPU Programming",7,"AI Labs, ResearchInst",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.15
29,F,B.Tech CS,"Java, Spring Boot, Microservices, Docker",4,CodeFactory,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.18
38,M,B.Sc IT,"Network Administration, Cisco, Firewall, CCNA",9,"TelecomCo, ISP",CCNA,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.2
33,F,B.Pharm,"Clinical Trials, Drug Formulation, Lab Research",6,PharmaCo,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.13
42,M,B.A,"Graphic Design, Photoshop, Illustrator, UI",10,DesignAgency,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.17
36,F,B.Tech CS,"Python, TensorFlow, Deep Learning, NLP",7,"AI Labs, DataCorp",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.14
31,M,B.Sc CS,"React, Node.js, HTML, CSS, JavaScript",5,"WebWorks, TechSoft",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.16
44,F,B.Com,"Accounting, Tally, GST, Financial Reporting",10,"CA Firm, AccountFirm",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.12
40,M,B.A English,"SEO, Content Marketing, Copywriting, Blogging",8,MediaHouse,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.1
47,F,MBA,"Supply Chain, Procurement, Inventory Management",12,"LogisticsCo, ManufacturingInc",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.22
39,M,B.Pharm,"Drug Trials, Lab Analysis, Pharmacology",8,"PharmaCo, Hospital",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.25
45,F,B.Com,"Bookkeeping, Audit, Financial Analysis",11,"BankCorp, AuditFirm",CPA,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.32
34,F,MBA,"Team Coordination, Reporting, MS Project",5,"ConsultFirm, RetailCo",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.6
36,M,B.Tech CS,"Team Lead, Python, System Design",6,"TechSoft, GlobalCorp",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.55
30,F,B.Sc IT,"Coordination, Documentation, Excel, Leadership",3,WebWorks,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.48
38,M,MBA,"Business Development, Client Relations, Presentations",7,"BizCorp, FinTech Ltd",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.52
32,F,MBA,"Team Management, Reporting, Stakeholder Communication",4,ConsultFirm,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.58
35,M,B.Tech Computer,"Team Coordination, Documentation, Requirements Gathering",5,"GlobalCorp, TechSoft",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.5
28,F,MBA,"Leadership, Business Analysis, Excel",3,BizCorp,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.45
40,M,B.Sc IT,"Coordination, Client Communication, MS Office",8,"RetailCo, FinTech Ltd",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.62
33,F,MBA,"Team Lead, Planning, Reporting",5,"ConsultFirm, GlobalCorp",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.53
37,M,B.Tech CS,"Team Coordination, Agile Basics, System Design",6,"CodeFactory, TechSoft",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.57
29,F,MBA,"Business Analysis, Leadership, Excel, Reporting",3,BizCorp,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.42
42,M,B.Sc IT,"Stakeholder Management, Documentation, Coordination",9,"GlobalCorp, RetailCo",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.65
31,F,MBA,"Team Management, Client Relations, Presentations",4,"ConsultFirm, FinTech Ltd",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.5
36,M,B.Tech Computer,"Team Lead, Planning, Coordination, Excel",5,"TechSoft, DataCorp",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.63
27,F,MBA,"Leadership, Reporting, Communication, MS Project",2,BizCorp,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.44
39,M,B.Sc IT,"Coordination, Stakeholder Relations, Documentation",7,"GlobalCorp, RetailCo",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.6
33,F,B.Tech CS,"Team Coordination, Agile Basics, Leadership",4,CodeFactory,,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.47
35,M,MBA,"Business Analysis, Team Management, Excel, Planning",6,"ConsultFirm, FinTech Ltd",,Project Manager,Manage projects using Agile and Project Management skills. Leadership required.,0.58
47,F,MBA,"Marketing Strategy, Brand Management, Campaign Planning",13,"AdAgency, FMCG",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.11
44,M,B.A,"Legal Research, Contract Drafting, Compliance",11,"LawFirm, CorporateLegal",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.13
40,F,B.Com,"Taxation, GST, Financial Reporting, Tally",8,"CA Firm, TaxConsult",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.15
45,M,MBA,"Operations Management, Six Sigma, Lean, Process",12,"ManufacturingCo, OpsGroup",Six Sigma,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.14
39,F,B.A,"Counseling, Psychology, Behavioral Therapy",7,"NGO, CounselingCenter",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.12
48,M,MBA,"HR Management, Recruitment, Payroll, Training",13,"HRCorp, StaffingSolutions",SHRM,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.17
42,F,B.A English,"Content Writing, SEO, Social Media, PR",9,"MediaHouse, PRAgency",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.1
46,M,MBA,"Sales Management, CRM, Cold Calling, Negotiation",12,"SalesCorp, RetailGroup",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.16
43,F,B.Pharm,"Drug Trials, Lab Research, Pharmacology",9,"PharmaCo, Hospital",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.18
50,M,MBA,"Supply Chain, Procurement, Inventory Management",14,"LogisticsCo, ManufacturingInc",,Software Developer,"Develop software systems and backend applications. Skills: Java, Python, SQL.",0.22
